artist,minutes,plays
Travis Scott,1566.6315166666666,771
NXCRE,1182.05075,352
Hans Zimmer,705.41265,376
,627.97465,348
NCTS,510.65416666666664,380
B Praak,476.29788333333335,112
Imagine Dragons,432.61826666666667,186
Nordgroove,363.19988333333333,121
Diljit Dosanjh,359.91218333333336,171
Pritam,358.6739166666667,190
A.R. Rahman,337.7443333333333,163
Achint,263.3784166666667,84
Kanye West,232.77191666666667,100
יגל אושרי,231.31341666666665,91
Eminem,221.67308333333332,77
Eyal Golan,216.55531666666667,105
Ennja,215.69205,82
The Weeknd,206.32103333333333,106
Fabolous,203.70105,143
Alok,200.59265,95
Arijit Singh,196.8619,103
Village People,188.61615,51
Amaal Mallik,172.1921,50
Alexandre Desplat,163.86506666666668,78
Vishal Dadlani,154.67061666666666,51
Yo Yo Honey Singh,140.70963333333333,69
Kendrick Lamar,138.04491666666667,65
Future,137.89433333333332,56
ceZk,126.43151666666667,69
pandora.,123.26876666666666,96
Umbra,122.77261666666666,71
Drake,120.17261666666667,56
21 Savage,112.92123333333333,51
Joel Sunny,110.33001666666667,67
Salim Merchant,110.29233333333333,24
Ghost,108.25678333333333,53
DJ Johnrey,106.41583333333334,91
Imran Khan,104.94896666666666,42
TommyMuzzic,104.9228,49
KOLIDESCOPES,103.48753333333333,32
Adele,102.0923,26
Shankar-Ehsaan-Loy,101.12995,84
Evgeny Bardyuzha,96.9764,63
Metro Boomin,91.347,67
Hozier,80.5796,46
MVSTERIOUS,76.17518333333334,52
Avicii,75.14563333333334,45
Don Toliver,74.3656,60
Farruko,72.75473333333333,20
remorse,72.20656666666666,54
Jewish Anthem Ensemble,69.61051666666667,66
VØJ,67.85551666666667,38
M83,64.8533,39
Majestic,64.68225,48
Shankar Mahadevan,63.36415,30
Lil Uzi Vert,62.1563,35
John Lennon,60.3257,22
Survivor,60.30036666666667,30
Southside,59.0696,38
Ben E. King,57.34523333333333,28
Foster The People,56.880433333333336,23
Chestbrah,56.564083333333336,36
Alan Walker,56.048316666666665,57
Halsey,55.563433333333336,25
Sonu Worldwide,54.701683333333335,36
Ka$tro,53.7325,56
RUNAGROUND,52.0868,28
AURORA,52.01403333333333,20
rhianne,50.980466666666665,22
Rob $tone,48.9575,21
OneRepublic,48.303583333333336,23
Alphaville,47.3961,29
Twenty One Pilots,46.146233333333335,24
Rae Sremmurd,44.38713333333333,21
Post Malone,43.6131,35
G-Eazy,43.22776666666667,15
George Gershwin,43.22026666666667,10
Faheem Abdullah,42.17075,20
Unknown Artist,41.707,10
¥$,40.956133333333334,30
Young Thug,40.09401666666667,29
Esa Mighty,39.04573333333333,18
Badshah,37.66898333333334,18
Shreya Ghoshal,37.573033333333335,21
Lil Baby,37.09315,25
Bruno Mars,36.71471666666667,18
Wiz Khalifa,36.222883333333336,28
Galantis,36.00828333333333,12
Amit Trivedi,34.02311666666667,13
Ashreveal,33.88321666666667,25
Macklemore,33.513,13
Himesh Reshammiya,31.140933333333333,14
Ace Hood,29.52595,17
R3HAB,29.071866666666665,22
Indila,28.6793,12
J Balvin,28.022483333333334,15
Brodha V,27.766816666666667,10
CKay,27.688066666666668,13
DJ Khaled,27.372866666666667,14
Mika Singh,26.882533333333335,12
a-ha,26.250416666666666,11
Juice WRLD,25.864483333333332,32
Sohail Sen,25.068433333333335,29
Mr.Kitty,24.91055,10
sapientdream,24.90825,14
Soap&Skin,24.658966666666668,13
Myongz,24.0729,20
The Script,23.668416666666666,8
Shubh,23.38025,21
Scott Benson Band,23.233183333333333,5
Nico & Vinz,23.202383333333334,8
Fjodor,23.148633333333333,21
Pitbull,23.087066666666665,20
Alex Lamy,21.73095,14
Skrillex,21.38045,13
Waris Brar,21.36285,14
Michael Bublé,21.2153,14
TheFatRat,21.209116666666667,17
The Chainsmokers,20.826966666666667,12
Guru Randhawa,20.737,11
Wacko Geco,20.00555,20
Josh A,19.95125,9
GAYLE,19.55595,10
Modern Talking,19.488766666666667,10
Fall Out Boy,18.974933333333333,14
Jorge Quintero,18.833316666666665,12
JAY-Z,18.72075,22
Elektronomia,18.36345,13
Beyoncé,18.010116666666665,3
Marshmello,17.42315,8
Too $hort,17.417916666666667,8
Aaron Smith,17.257216666666668,9
ATLXS,17.214416666666665,15
Offset,16.486983333333335,8
Emile Mosseri,16.035233333333334,25
Roddy Ricch,15.829283333333333,16
Gym Class Heroes,15.506483333333334,6
Calvin Harris,14.864366666666667,12
Irokz,14.58545,11
Deon Custom,14.436033333333333,9
2Pac,14.32215,6
Dschinghis Khan,13.9301,8
Fort Minor,13.816016666666666,8
LMFAO,13.803233333333333,5
Swanand Kirkire,13.564,3
Baauer,13.521833333333333,6
J. Cole,13.44905,7
Blueface,13.446283333333334,11
Miguel,13.0041,6
Shawn Mendes,12.814116666666667,13
Metrixx,12.585933333333333,5
ROSÉ,12.211416666666667,11
Iyaz,11.808066666666667,12
David Guetta,11.789333333333333,9
Maroon 5,11.470933333333333,8
X Ambassadors,11.087416666666666,5
Queen,11.031083333333333,7
USHER,10.790816666666666,10
Kodak Black,10.62045,12
Sukhbir,10.549933333333334,3
Black Eyed Peas,10.54645,40
Famy,10.533733333333334,10
Khalid,10.51395,8
Robin Thicke,10.47115,3
EMIN,10.379633333333333,7
Syn Cole,10.097483333333333,7
Pyotr Ilyich Tchaikovsky,9.711783333333333,6
Mithoon,9.687483333333333,3
Doechii,9.362866666666667,14
will.i.am,9.346433333333334,3
Panjabi MC,9.341166666666666,21
DNCE,9.283983333333333,4
Udit Narayan,9.190516666666667,3
Luis Fonsi,9.169416666666667,3
Ravi Basrur,9.158233333333333,15
Denzel Curry,8.94445,7
Kim Sungsoo,8.909466666666667,19
Coldplay,8.713,4
YG,8.594833333333334,12
Paycheck,8.579183333333333,3
alper6nen,8.531266666666667,3
Anand-Milind,8.497666666666667,2
Money Man,8.453416666666667,13
Selena Gomez,8.358166666666667,3
CoaastGxd,8.225966666666666,3
Nej,8.075433333333333,5
Fergie,8.07005,4
Ice Cube,7.8893,4
James Horner,7.648616666666666,4
Macklemore & Ryan Lewis,7.6412,3
Mark Ronson,7.64075,4
DJ Snake,7.325833333333334,7
The Beach Boys,7.30485,19
PSY,7.3014,2
Rihanna,7.26705,6
A Boogie Wit da Hoodie,7.235233333333333,3
LIL BLACK'OUT,7.1844833333333336,12
Dr. Dre,7.15995,11
Anu Malik,7.0327,8
A$AP Rocky,6.8982833333333335,3
Lil Revive,6.704916666666667,3
Migos,6.686483333333333,4
Dev Negi,6.4996833333333335,5
Tove Lo,6.49775,15
Maanu,6.485916666666666,7
Capital Cities,6.4743,3
Yash Narvekar,6.2812833333333336,9
Hippie Sabotage,6.111916666666667,8
Danish Sabri,5.930833333333333,29
O.T. Genasis,5.77075,2
Lil Tecca,5.708433333333334,2
The Game,5.59725,5
N.W.A.,5.562633333333333,4
Jazzy B,5.459883333333333,2
YCK,5.38195,2
Diplo,5.217766666666667,9
DripReport,5.140133333333333,6
Chirag Pehchan,5.065333333333333,1
Trippie Redd,4.986516666666667,8
daddy's girl,4.9671666666666665,3
Jaz Dhami,4.964,2
Bing Crosby,4.902066666666666,4
KIDR,4.87675,2
Mac-G,4.783333333333333,1
KONGOS,4.773366666666667,2
John Newman,4.616,3
NAV,4.60685,4
Warlord Colossus,4.573316666666667,2
JEM,4.542716666666666,3
Sheck Wes,4.5249,3
AC/DC,4.513133333333333,3
Steven Cooper,4.476183333333333,5
ScHoolboy Q,4.4571,1
B.o.B,4.385633333333334,3
fun.,4.213,2
Darude,4.073966666666666,6
Fukkit,4.070583333333333,2
Hank Levy,4.029416666666667,4
Zack Knight,4.008666666666667,4
Desiigner,3.9994,3
Sia,3.931016666666667,5
KAMAARA,3.9006333333333334,2
G Herbo,3.8661166666666666,2
Lil Nas X,3.7726333333333333,3
Justin Bieber,3.767333333333333,2
YNW Melly,3.764283333333333,1
Taz Stereo Nation,3.7144166666666667,1
Ylvis,3.6303666666666667,3
XXXTENTACION,3.495416666666667,4
Tones And I,3.4906333333333333,1
lovelytheband,3.4790833333333335,3
Cartoon,3.475633333333333,2
Lunay,3.446083333333333,5
Sanjay Leela Bhansali,3.44525,10
Lee Greenwood,3.3984,3
Tony Kakkar,3.367366666666667,4
Daya,3.360533333333333,4
Neha Kakkar,3.3415666666666666,7
Panic! At The Disco,3.334433333333333,2
Kesha,3.3282166666666666,1
Lauv,3.2906,2
Lil Peep,3.2733333333333334,1
Fetty Wap,3.265816666666667,3
Cinescore,3.2271,3
Famous Dex,3.20955,2
KISS,3.1801833333333334,1
John Denver,3.1693333333333333,1
Yeat,3.1538833333333334,2
2 Chainz,3.14365,2
Young Money,3.1386666666666665,1
Frank Sinatra,3.13165,4
Fat Joe,3.12675,5
Ludwig Göransson,3.0946833333333332,2
Ski Mask The Slump God,3.0906166666666666,7
Narkis,3.0417666666666667,1
PRNV,3.0122333333333335,10
Meek Mill,3.0087,1
TWISTED,2.9308666666666667,4
Mustard,2.8799,1
BTS,2.8251166666666667,5
JACKBOYS,2.79705,4
THE SCOTTS,2.7662833333333334,1
TWENTYTHREE,2.69055,1
g3ox_em,2.6471,3
iwilldiehere,2.5303666666666667,2
Free Bird,2.5218833333333333,4
neonsoul,2.4881,10
Sinoda,2.462466666666667,1
Thomas Newman,2.46145,3
Savage Ga$p,2.4497333333333335,1
Key Glock,2.3913333333333333,1
TWXN,2.3841,1
iamjakehill,2.331166666666667,1
Trones Nelly,2.3186166666666668,3
Kenny,2.15575,2
ShadowStep,2.109933333333333,2
Lehmber Hussainpuri,2.0862166666666666,4
Kylof Söze,2.020183333333333,1
John Wasson,2.0187166666666667,1
The Party People,1.7283333333333333,2
Sukhwinder Singh,1.6652833333333332,7
CAIRO!,1.6373333333333333,1
KXLLSWXTCH,1.6176166666666667,1
SZA,1.6034666666666666,2
sxpphire,1.4291833333333333,4
The Neighbourhood,1.2811333333333332,2
Internet Money,1.2129333333333334,3
Teddy Swims,1.1563333333333334,1
Barns Courtney,1.1355666666666666,4
Øneheart,1.1321333333333334,4
Murray Gold,1.1153333333333333,1
Ayo & Teo,1.0811666666666666,4
Egzod,1.0789833333333334,3
A.Rob,0.9986666666666667,4
Bee Gees,0.95685,4
Jesper Kyd,0.9404833333333333,5
GowraHari,0.92975,4
James Newton Howard,0.8383666666666667,2
ZAYN,0.7965666666666666,1
Los Del Rio,0.7301,2
INTERWORLD,0.7300666666666666,5
J.K. Simmons,0.7129,1
The White Stripes,0.6993333333333334,1
Vishal-Shekhar,0.6898333333333333,8
AP Dhillon,0.6841333333333334,6
Sri Krishna,0.6772,1
mikeeysmind,0.6457333333333334,3
Vicetone,0.6269166666666667,6
Flo Rida,0.61785,9
Lana Del Rey,0.6166166666666667,2
Ludovico Einaudi,0.6142833333333333,7
Ram Sampath,0.55305,2
Raj Shekhar,0.5418833333333334,2
Sierra Ferrell,0.5391,1
Gyakie,0.53445,1
Metallica,0.52935,2
Fitted,0.5164166666666666,1
Surf Curse,0.48433333333333334,1
Sabrina Carpenter,0.4712166666666667,4
Gesaffelstein,0.46896666666666664,1
Justin Hurwitz,0.4684333333333333,1
Anuv Jain,0.46155,1
Shashwat Sachdev,0.44493333333333335,2
VXBEX,0.4409,7
jung jaeil,0.4336333333333333,4
Lady Gaga,0.42973333333333336,4
T3NZU,0.4005166666666667,2
Pratibha Singh Baghel,0.3871833333333333,3
Kushagra,0.3853,3
benny blanco,0.3838,4
Gunna,0.38211666666666666,3
Alani Allen,0.37156666666666666,1
Sergio Valentino,0.36395,2
Dj Bountyhunter,0.34541666666666665,3
Vikram Montrose,0.3445666666666667,1
Geek Music,0.313,1
Focus Music For ADHD,0.31175,1
Karan Aujla,0.30505,3
Harry Styles,0.30448333333333333,2
Haddaway,0.3017,1
Vedang Raina,0.30155,1
Gibran Alcocer,0.2973166666666667,2
בניה ברבי,0.2926166666666667,1
KALEO,0.2844333333333333,1
DaBaby,0.2708833333333333,1
Olivia Rodrigo,0.2653333333333333,1
Rasraj Ji Maharaj,0.25726666666666664,2
The Jewish Starlight Orchestra,0.2543666666666667,1
Shaheen Bhatt,0.25398333333333334,1
Édith Piaf,0.2526333333333333,2
MASN,0.25256666666666666,5
Gucci Mane,0.24263333333333334,2
Traditional,0.24095,4
R. City,0.22418333333333335,4
Sagarika Bhattacherjee,0.2212,2
ian,0.21333333333333335,1
Prestigigator,0.204,1
Oliver Tree,0.20178333333333334,3
Leigh-Anne,0.19666666666666666,1
Jaymes Young,0.19033333333333333,2
Michael Jackson,0.18935,2
Dave Stella,0.18306666666666666,1
Edward Maya,0.18145,1
SUICIDAL-IDOL,0.17701666666666666,4
Kill Dyll,0.17625,1
Louis Armstrong,0.17218333333333333,4
Bon Jovi,0.17166666666666666,2
Berylxx,0.17136666666666667,1
Javed-Mohsin,0.16576666666666667,1
Juice,0.16541666666666666,1
Ömer Balık,0.1557,2
Thirty Seconds To Mars,0.1532,3
Aminé,0.1523,2
Daryl Braithwaite,0.14833333333333334,1
TYKNI,0.14666666666666667,1
P.L.,0.1452,1
Asha Bhosle,0.14223333333333332,3
aespa,0.1418,1
Subliminal,0.14166666666666666,1
Axwell /\ Ingrosso,0.14068333333333333,4
DJ Gotta,0.14038333333333333,2
mgk,0.13911666666666667,1
Alka Yagnik,0.13541666666666666,1
Ark Patrol,0.13275,3
The Score,0.13231666666666667,2
Kansas,0.12908333333333333,1
Linear Phase,0.12895,1
Naftali Herz Imber,0.12823333333333334,1
Cagri Guzet,0.12633333333333333,2
Friedrich Habetler,0.12618333333333334,1
Ellie Goulding,0.12378333333333333,2
The Macarons Project,0.122,1
GELO,0.12088333333333333,1
Kavita Seth,0.11825,1
Hampus Naeselius,0.11633333333333333,1
Prasoon Joshi,0.11483333333333333,2
Salman Khan,0.11136666666666667,3
Tesher,0.11016666666666666,1
Adrena Line,0.10933333333333334,1
Papa Khan,0.10906666666666667,1
Taylor Swift,0.10866666666666666,1
Burna Boy,0.10823333333333333,1
running music,0.105,1
Alec Benjamin,0.10361666666666666,1
Vijaya Lakshmi,0.09896666666666666,1
Khursheed Bano,0.0974,1
Shakira,0.09623333333333334,2
Nicholas Hill,0.09566666666666666,1
The Theme System,0.09506666666666666,1
Daddy Yankee,0.09358333333333334,2
Shekhar Ravjiani,0.09338333333333333,1
Icona Pop,0.09211666666666667,2
Team Life Rmx,0.09058333333333334,1
Amy B,0.08961666666666666,1
ZHU,0.08908333333333333,2
K'NAAN,0.08823333333333333,1
Kate Bush,0.0866,5
Deep Sleep Remedy,0.08608333333333333,1
Lil Durk,0.08491666666666667,1
MAK,0.08033333333333334,1
Dior,0.0802,1
Rick Ross,0.07718333333333334,1
Tarna,0.07695,1
RDB,0.07483333333333334,1
I BEATZ,0.07358333333333333,1
Hector Louies,0.07308333333333333,1
Noah Cyrus,0.07118333333333333,2
Avvy Sra,0.07016666666666667,1
Talwiinder,0.06921666666666666,1
Kiesza,0.06745,1
Fironn,0.06535,1
Princess Chelsea,0.06521666666666667,2
Bohemia,0.06401666666666667,1
SebastiAn,0.06341666666666666,1
Ollie,0.05955,1
Txmy,0.0593,1
Zay Hilfigerrr,0.058883333333333336,1
M. S. Rama Rao,0.0586,1
BAKI,0.057183333333333336,1
Enrique Iglesias,0.054266666666666664,3
Prateek Kuhad,0.053283333333333335,1
Clean Bandit,0.052333333333333336,1
Witt Lowry,0.0518,1
Phillip Phillips,0.051533333333333334,1
Elley Duhé,0.04956666666666667,1
Elliot Sutton,0.04928333333333333,1
Alex,0.04816666666666667,1
Lil Wayne,0.04816666666666667,1
Måneskin,0.04766666666666667,1
Pala Oku,0.046283333333333336,1
Owen Nicholas Carlson,0.0451,1
Nicola Lerra,0.043666666666666666,1
Skryptonite,0.04356666666666666,1
Classified,0.04355,1
Swedish House Mafia,0.043533333333333334,1
KISS OF LIFE,0.041916666666666665,1
Sachin-Jigar,0.04085,1
高橋　洋子,0.039266666666666665,1
Laxmikant–Pyarelal,0.03766666666666667,1
LUM!X,0.037233333333333334,1
Tom Petty,0.03645,1
Cam Jones,0.03593333333333333,1
Chicago,0.035416666666666666,1
Alx Beats,0.035133333333333336,1
WALK THE MOON,0.03503333333333333,1
Affinity,0.034,1
Jmbeatz,0.034,1
fusq,0.03353333333333333,1
Kailash Kher,0.03308333333333333,1
BØRNS,0.032433333333333335,2
Waka Flocka Flame,0.03241666666666667,2
Miley Cyrus,0.032266666666666666,1
Chill Machine,0.032,1
GBSN,0.030766666666666668,1
Jesus Honcho,0.030283333333333332,1
Kaur B,0.03,1
CO.Ag Music,0.029116666666666666,1
Sahara,0.028666666666666667,1
Dreaming Sound,0.02835,1
MAGIC!,0.027466666666666667,1
Keane,0.02655,1
Juicy J,0.025683333333333332,1
2015 Big Deal,0.02493333333333333,1
SICK LEGEND,0.024333333333333332,1
John D. Boswell,0.02375,1
Huncho Jack,0.023616666666666668,1
moe.,0.023466666666666667,1
Beach House,0.023133333333333332,1
Sean Paul,0.022783333333333333,1
Salim–Sulaiman,0.020783333333333334,2
Andres Espinosa,0.01975,1
Hariharan,0.01935,1
Zoey Dollaz,0.0193,1
Diddy - Dirty Money,0.018683333333333333,1
Michael W. Smith,0.017466666666666665,1
Klaus Badelt,0.016833333333333332,1
The Wanted,0.0154,1
NIKUNJA,0.015333333333333332,1
Snoop Dogg,0.013333333333333334,1
Prompto,0.011466666666666667,1
Harold Faltermeyer,0.010433333333333333,1
The Bilz,0.008433333333333333,1
Kishore Kumar,0.007166666666666667,1
Darci,0.006083333333333333,2
The Kid LAROI,0.005583333333333333,1
NBSPLV,0.0036166666666666665,2
Kid Cudi,0.0035666666666666668,1
Tanveer Evan,0.00021666666666666666,1
Mohammad Faiz,0.00016666666666666666,1
Øfdream,0.0,1
Different Heaven,0.0,1
World Wisdom Music,0.0,1
